,CS,R,Game,Fin,ETC,Sports,Art,Java,JS,Pol,Stat,Python
0,3,2,1,1,1,4,4,2,1,1,2,2
1,4,1,1,2,4,1,3,4,2,3,2,2
2,3,1,2,3,3,3,3,2,3,2,2,2
3,1,2,4,4,1,2,4,1,1,5,3,1
4,3,3,5,2,1,2,2,3,1,2,4,1
5,3,2,1,1,3,1,4,2,1,4,1,3
6,5,1,3,4,5,3,3,2,3,3,3,5
7,3,1,1,1,3,1,1,2,3,2,1,2
8,4,2,5,2,4,2,2,2,3,2,3,3
9,2,1,5,2,3,1,2,1,2,2,1,2
10,1,1,4,4,1,3,4,1,1,4,3,1
11,3,3,2,5,3,1,3,1,1,4,4,1
12,5,4,5,4,5,3,1,2,2,1,4,4
13,3,3,1,2,2,5,2,3,2,2,3,4
14,2,4,3,2,1,2,4,1,1,3,4,1
15,2,2,5,3,1,3,4,2,1,2,3,2
16,4,2,4,2,3,2,2,4,3,4,1,3
17,1,1,1,2,1,1,4,1,1,3,2,2
18,3,1,1,3,3,3,2,1,1,3,1,2
19,3,3,4,3,1,2,5,1,1,4,1,4
20,2,1,2,2,2,4,4,2,1,4,1,1
21,5,2,3,3,3,4,3,2,2,4,2,3
22,1,1,1,1,4,1,2,2,4,1,1,2
