순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수
1,암살,7/22/2015,"97,731,728,481",8.00%,"12,609,764","1,519","170,854"
2,베테랑,8/5/2015,"96,802,406,332",7.90%,"12,354,243","1,115","168,846"
3,어벤져스: 에이지 오브 울트론,4/23/2015,"88,582,586,366",7.20%,"10,494,499","1,843","191,778"
4,국제시장,12/17/2014,"69,834,353,034",5.70%,"8,914,461","1,044","148,998"
5,킹스맨 : 시크릿 에이전트,2/11/2015,"50,369,009,795",4.10%,"6,129,681",728,"139,988"
6,미션 임파서블: 로그네이션,7/30/2015,"48,527,089,707",4.00%,"6,123,985","1,202","89,513"
7,연평해전,6/24/2015,"45,551,835,330",3.70%,"6,040,997","1,013","114,430"
8,쥬라기 월드,6/11/2015,"47,800,698,826",3.90%,"5,546,792","1,290","118,959"
9,인사이드 아웃,7/9/2015,"37,974,073,036",3.10%,"4,963,184",931,"83,811"
10,조선명탐정 : 사라진 놉의 딸,2/11/2015,"30,456,879,428",2.50%,"3,872,015",825,"80,499"
11,매드 맥스: 분노의 도로,5/14/2015,"32,906,364,462",2.70%,"3,842,441",799,"98,789"
12,분노의 질주: 더 세븐,4/1/2015,"26,454,098,694",2.20%,"3,247,955",983,"93,612"
13,터미네이터 제니시스,7/2/2015,"26,556,715,129",2.20%,"3,240,370","1,113","77,588"
14,스물,3/25/2015,"23,558,988,686",1.90%,"3,044,134",926,"100,151"
15,극비수사,6/18/2015,"22,389,535,897",1.80%,"2,860,786",894,"66,208"
16,빅 히어로,1/21/2015,"21,993,119,765",1.80%,"2,801,949",825,"62,229"
17,미니언즈,7/29/2015,"18,943,060,778",1.50%,"2,618,077",792,"41,666"
18,스파이,5/21/2015,"18,417,637,358",1.50%,"2,318,748",665,"62,960"
19,악의 연대기,5/14/2015,"17,361,815,332",1.40%,"2,192,525",776,"64,349"
20,강남 1970,1/21/2015,"17,717,971,499",1.40%,"2,192,172",841,"53,302"
21,앤트맨,9/3/2015,"17,693,218,155",1.40%,"2,112,943",946,"47,792"
22,뷰티 인사이드,8/20/2015,"15,296,569,231",1.20%,"1,946,155",648,"47,425"
23,오늘의 연애,1/14/2015,"14,924,654,487",1.20%,"1,891,993",709,"47,237"
24,테이큰 3,1/1/2015,"15,088,105,000",1.20%,"1,860,934",616,"38,060"
25,이미테이션 게임,2/17/2015,"13,655,718,120",1.10%,"1,743,936",541,"44,779"
26,샌 안드레아스,6/3/2015,"14,435,844,152",1.20%,"1,716,455",847,"62,016"
27,쎄시봉,2/5/2015,"13,571,515,911",1.10%,"1,715,370",829,"51,744"
28,위플래쉬,3/12/2015,"12,646,341,645",1.00%,"1,587,631",574,"55,915"
29,마다가스카의 펭귄,12/31/2014,"11,450,482,159",0.90%,"1,512,340",615,"27,171"
30,차이나타운,4/29/2015,"11,989,400,678",1.00%,"1,472,006",551,"45,129"
31,장수상회,4/9/2015,"8,734,552,643",0.70%,"1,165,077",688,"52,923"
32,간신,5/21/2015,"8,946,842,910",0.70%,"1,110,246",697,"40,576"
33,박물관이 살아있다 : 비밀의 무덤,1/14/2015,"8,170,784,606",0.70%,"1,101,678",500,"30,146"
34,미쓰 와이프,8/13/2015,"7,260,957,066",0.60%,"968,279",437,"27,917"
35,허삼관,1/14/2015,"7,408,943,569",0.60%,"955,679",621,"27,645"
36,"님아, 그 강을 건너지 마오",11/27/2014,"7,509,622,200",0.60%,"955,171",486,"26,173"
37,살인의뢰,3/12/2015,"6,986,456,737",0.60%,"855,980",646,"35,244"
38,손님,7/9/2015,"6,385,937,880",0.50%,"828,025",634,"23,404"
39,인시디어스 3,7/9/2015,"6,396,650,620",0.50%,"825,517",416,"20,824"
40,기술자들,12/24/2014,"6,241,817,635",0.50%,"786,257",481,"18,808"
41,신데렐라,3/19/2015,"5,500,502,900",0.40%,"716,491",531,"27,508"
42,픽셀,7/16/2015,"5,390,909,947",0.40%,"681,945",557,"21,307"
43,채피,3/12/2015,"4,620,380,654",0.40%,"573,661",536,"24,669"
44,극장판 요괴워치: 탄생의 비밀이다냥!,7/22/2015,"3,886,709,100",0.30%,"550,720",509,"11,763"
45,헬머니,3/5/2015,"4,120,166,972",0.30%,"522,929",422,"24,846"
46,도라에몽 : 스탠 바이 미,2/12/2015,"3,684,756,429",0.30%,"503,968",432,"13,063"
47,위험한 상견례 2,4/29/2015,"3,575,384,754",0.30%,"472,693",429,"18,409"
48,명탐정 코난 : 화염의 해바라기,8/5/2015,"3,294,690,400",0.30%,"470,942",433,"8,872"
49,순수의 시대,3/5/2015,"3,740,948,828",0.30%,"469,891",546,"23,623"
50,"협녀, 칼의 기억",8/13/2015,"3,353,201,989",0.30%,"430,402",572,"16,086"
